DATE,government_balance,private_balance,foreign_balance,gdp,non_gov_balance,government_pct_gdp,private_pct_gdp,foreign_pct_gdp,non_gov_pct_gdp
2013-10-01,-895.391,594.482,294.365,17192.019,888.847,-5.208178283190589,3.457895201255885,1.7122189080875259,5.170114109343411
2014-01-01,-895.593,514.18,371.64,17197.738,885.8199999999999,-5.207620909214921,2.989811799668072,2.16098186866203,5.1507936683301025
2014-04-01,-894.685,543.867,345.269,17518.508,889.136,-5.107084461758958,3.1045280796743646,1.970881310212034,5.075409389886398
2014-07-01,-945.323,584.057,356.02,17804.228,940.077,-5.309542205368298,3.280439904499089,1.9996373895009658,5.280077294000055
2014-10-01,-951.316,516.904,427.466,17912.079,944.37,-5.311030617942228,2.8857845032952345,2.3864678131444146,5.272252316439649
2015-01-01,-900.007,468.671,418.937,18063.529,887.608,-4.9824538715552205,2.5945705293799457,2.319242269879823,4.913812799259768
2015-04-01,-764.411,353.579,405.373,18279.784,758.952,-4.181728843185455,1.9342624617446247,2.2176027900548494,4.1518652517994745
2015-07-01,-928.606,465.276,454.184,18401.626,919.46,-5.046325797513764,2.528450474974331,2.4681731929558834,4.996623667930215
2015-10-01,-804.971,384.789,413.806,18435.137,798.595,-4.366504029777484,2.0872586951754144,2.244659207034914,4.3319179022103285
2016-01-01,-1007.559,570.072,428.143,18525.933,998.2149999999999,-5.438641066012707,3.077156761821388,2.311046898420716,5.3882036602421035
2016-04-01,-995.864,593.931,397.207,18711.702,991.138,-5.322145468114018,3.1741153209900417,2.122773225011813,5.296888546001854
2016-07-01,-1029.436,630.817,392.808,18892.639,1023.625,-5.448873500414632,3.3389565110517383,2.079158978266615,5.418115489318353
2016-10-01,-1041.579,646.161,387.256,19089.379,1033.417,-5.456327311642772,3.384924150754196,2.028646400702715,5.413570551456912
2017-01-01,-1072.482,704.453,359.156,19280.084,1063.609,-5.562641739527691,3.6537859482354955,1.8628342075688051,5.516620155804301
2017-04-01,-1115.829,679.2,428.217,19438.643,1107.417,-5.74026180736999,3.4940710624707703,2.2029161191961806,5.696987181666951
2017-07-01,-1130.25,741.028,349.685,19692.595,1090.713,-5.739467043322629,3.7629779112402404,1.7757182331734338,5.538696144413674
2017-10-01,-154.806,-227.338,374.924,20037.088,147.58599999999998,-0.7725972955750856,-1.1345860236776921,1.8711501391819008,0.736564115504209
2018-01-01,-1198.082,800.432,391.861,20328.553,1192.2930000000001,-5.893592131225475,3.93747651394568,1.9276384305365954,5.8651149444822765
2018-04-01,-1275.594,886.779,376.66,20580.912,1263.439,-6.19794691313971,4.308744918592528,1.8301424154575852,6.138887334050114
2018-07-01,-1253.925,767.156,484.545,20798.73,1251.701,-6.028853684816332,3.688475209784443,2.3296855144520845,6.0181607242365285
2018-10-01,-1328.491,818.387,511.567,20917.867,1329.954,-6.350986933801616,3.912382653546846,2.445598301203464,6.35798095475031
2019-01-01,-1415.617,941.003,463.237,21111.6,1404.24,-6.705398927603781,4.45727941037155,2.1942297125750776,6.651509122946627
2019-04-01,-1390.278,909.09,477.302,21397.938,1386.392,-6.497252211872004,4.248493476334028,2.2305981071634102,6.479091583497439
2019-07-01,-1468.434,1017.904,446.485,21717.171,1464.3890000000001,-6.761626548872319,4.687092991992373,2.0559077423113723,6.743000734303747
2019-10-01,-1502.895,1092.642,402.02,21933.217,1494.662,-6.8521412066456096,4.981676878498946,1.8329276548898412,6.814604533388787
2020-01-01,-1544.761,1153.411,379.273,21751.238,1532.6840000000002,-7.101945185832641,5.302737251093478,1.7436846583169197,7.046421909410398
2020-04-01,-5178.149,4664.427,509.309,19958.291,5173.736,-25.94485169095891,23.37087378874273,2.5518667905984533,25.922740579341184
2020-07-01,-3757.598,3106.715,648.043,21704.437,3754.7580000000003,-17.31257991165585,14.313732256680971,2.985762772837646,17.29949502951862
2020-10-01,-2321.466,1594.552,721.855,22087.16,2316.407,-10.510477580639611,7.219361837375199,3.2682110330164673,10.487572870391666
2021-01-01,-4732.079,3927.027,773.733,22680.693,4700.76,-20.863908347068584,17.314404811175745,3.4114169262817495,20.725821737457494
2021-04-01,-2793.333,1936.152,854.084,23425.91,2790.236,-11.924117355526423,8.265002298736741,3.645894652544981,11.910896951281721
2021-07-01,-2234.763,1312.847,934.369,23982.379,2247.216,-9.318354113242894,5.4742150476397695,3.8960646898291453,9.370279737468913
2021-10-01,-1567.008,645.097,914.795,24813.6,1559.8919999999998,-6.315117516200794,2.5997718992810395,3.6866677950801177,6.286439694361157
2022-01-01,-576.859,-530.551,1101.415,25250.347,570.8639999999999,-2.2845587032922756,-2.1011632038165655,4.361979659131021,2.260816455314455
2022-04-01,-842.011,-199.676,1031.357,25861.292,831.681,-3.255873681794397,-0.7721037293883073,3.988033544495766,3.215929815107459
2022-07-01,-1089.389,175.313,938.398,26336.304,1113.711,-4.136453619308161,0.6656704752496782,3.5631347511784495,4.228805226428127
2022-10-01,-1366.853,421.067,933.614,26770.514,1354.681,-5.105815301118239,1.5728760381664693,3.4874713275957276,5.060347365762197
2023-01-01,-2074.061,1144.553,917.492,27216.445,2062.045,-7.620616873364615,4.205372891279519,3.3710942042577567,7.576467095537275
2023-04-01,-2309.941,1378.362,926.664,27530.055,2305.026,-8.390615274833268,5.006753528098654,3.3660085314032244,8.372762059501879
2023-07-01,-2341.728,1420.062,916.758,28074.846,2336.8199999999997,-8.341018148416557,5.058129259195224,3.2654070480030417,8.323536307198264
2023-10-01,-2164.865,1166.258,990.439,28424.722,2156.697,-7.616134293239524,4.102970646467536,3.4844280974849986,7.587398743952535
2024-01-01,-2251.516,1177.307,1065.578,28708.161,2242.885,-7.842773349362225,4.100948855623319,3.7117598720447473,7.812708727668067
2024-04-01,-2307.248,1145.765,1152.789,29147.044,2298.554,-7.915890201421455,3.9309818175729934,3.955080316206336,7.88606213377933
2024-07-01,-2492.221,1164.113,1318.433,29511.664,2482.5460000000003,-8.444867764826816,3.9445861134770306,4.467498003501259,8.412084116978292
2024-10-01,-2414.478,1269.747,1182.609,29825.182,2452.3559999999998,-8.095434254181585,4.257298413132903,3.965135904283836,8.222434317416738
2025-01-01,-2393.466,917.971,1502.616,30042.113,2420.587,-7.967036140234209,3.055613964304042,5.001698781973158,8.057312746277201
2025-04-01,-2350.24,1174.904,1167.159,30485.729,2342.063,-7.709312117810926,3.8539475306626256,3.8285422008442054,7.6824897315068315
2025-07-01,-2315.073,,987.913,31095.089,,-7.44514029208921,,3.1770708229842985,
